brand_name,aliases,peta,leaping_bunny,parent_company,parent_peta,parent_lb,parent_sells_china,parent_status,cf_verdict,notes,confidence
:AM CLEANING,:AM CLEANING YYC,FALSE,TRUE,Independent,,,no,independent,certified-clean,"Solo founder Mariya Podeyko, Calgary AB. Plant-based cleaning products; LB certified.",medium
.kc. by keracare,kc. by keracare,TRUE,FALSE,Avlon Industries,yes,,no,ok,certified-clean,"Avlon Industries (Syed family, Melrose Park IL, est. 1984). Independent, family-owned. PETA also lists KeraCare (Avlon) separately. No China distribution found.",high
'Ôrəbella,Orebella,TRUE,TRUE,BKH Essential LLC,,,no,independent,certified-clean,BKH Essential LLC owned by Bella Hadid. Both PETA + LB certified. No China retail.,high
"""Yes She Will!"" Organics®",Yes She Will! Organics,FALSE,TRUE,Independent,,,no,independent,certified-clean,Indie hair/lash/beard growth line. LB certified. No corporate parent found.,medium
[ p H 7 ],pH7 Beauty; pH7 Nail Couture,FALSE,TRUE,PH7 Beauty of Fort Greene Inc,,,no,independent,certified-clean,"Founded by Cici Huang & Helen Ke, Brooklyn NY. Eco nail salon turned product line. NY corp #5200978. LB certified.",high
@andreabellezanatural_osorno,Andrea Belleza Natural Osorno,TRUE,FALSE,Independent,,,no,independent,certified-clean,"Micro-brand or sole trader in Osorno, Chile. PETA brand name is their Instagram handle. Very limited web presence.",low
@BambuuBrush,BambuuBrush®,TRUE,FALSE,Independent,,,no,independent,certified-clean,"Founded 2019 by Tommie Eaton & Rebecca Dudbridge, UK. B Corp certified. 7.5M+ bamboo toothbrushes sold. No China retail.",high
& Smile Tablets,Smile Tablets; andsmile,TRUE,FALSE,Independent,,,no,independent,needs-review,UK oral care brand (toothpaste tablets). Domain andsmile.co.uk now resolves to unrelated photography business — brand may have changed web presence or be in transition.,medium
& Tread Well,Tread Well; Tread Well New York,FALSE,TRUE,Independent,,,no,independent,certified-clean,"Founded 2023 by sisters Emily & Claire, Hudson Valley NY. Handmade botanical skincare on family farm. Very new brand.",high
10 Degrees Cooler,Apothecary 90291; 10 Degrees Cooler by Apothecary 90291,FALSE,TRUE,Independent,,,no,independent,certified-clean,"Founded by Andreea Farcas & Cameron Murphy, Venice CA. 100% certified organic skincare. 'Apothecary 90291' is DBA name used interchangeably.",high
100% Pure,Purity Cosmetics; 100% PURE,TRUE,FALSE,Independent,,,no,independent,certified-clean,"Founded by Susie Wang, Ric Kostick, James Wang. Legal name: Purity Cosmetics. Sells via Tmall Global (cross-border e-com, exempt from China mandatory testing). Won PETA Courage in Commerce Award for refusing mainland physical retail in China.",high
1121 Apothecary,,TRUE,FALSE,Independent,,,no,independent,certified-clean,"Micro indie bath & body, founded by Amy (surname not public), handmade. Both PETA and LB certified. Donates 15% to charity.",high
12 Grabs,12GRABS,TRUE,FALSE,Independent,,,unknown,independent,certified-clean,"Korean skincare brand, Seongnam-City (Biz #214-87-03359). No parent conglomerate found. No confirmed China retail presence.",medium
123 Nourish Me,,TRUE,FALSE,Vitalus,,,unknown,gray,certified-gray,"Parent: Vitalus (Australian natural health company, also owns Global By Nature and Complete Health). Vitalus not independently on PETA or LB lists. No China red flags — small Australian holding company, not a global cosmetics conglomerate.",medium
1400 Below®,1400 Below Dead Sea Salt,FALSE,TRUE,LA SALT CO,,,no,independent,certified-clean,"1400 Below is a product line of LA SALT CO (family-owned, sisters Jaza & Sana, Los Angeles). LB certification held by LA SALT CO entity. All made in-house in LA.",high
180 Innovations,BestMed (former name),TRUE,FALSE,HBB Consumer Products LLC,,,no,independent,certified-clean,Operating entity: HBB Consumer Products LLC (Lakewood CO; owner: Margaret Wernars). Small independent US health & beauty supplier. Previously BestMed USA before rebranding.,medium
19th Volume Cosmetics Corp.,19th Volume,TRUE,FALSE,Independent,,,unknown,independent,certified-clean,Founded 2012 by two co-founders (names not public). Natural body care. Grew rapidly through 3 manufacturing facilities. No corporate parent found.,medium
1KOMMA8,1komma8,TRUE,FALSE,Independent,,,no,independent,certified-clean,"Founded by Nicole Algieri, Berlin. Named after 1.8°C Paris Agreement target. Solid/waterless cosmetics. No China retail.",high
23Beauty Paris,23Beauty; 23beauty.paris,TRUE,FALSE,Independent,,,no,independent,certified-clean,"Founded by Virginie Bapaume, France. Vegan nail polishes. Shareholder of Time for the Planet (climate nonprofit). B-corp adjacent.",high
24K Cosmetics,IZME; SeSpring; IZME New York,TRUE,FALSE,24K Cosmetics Inc,,,no,independent,certified-clean,"24K Cosmetics Inc (South Hackensack NJ, est. 2015, founder Tom K). Two sub-brands: IZME (color) and SeSpring (skincare). Sources manufactured goods from China (OEM/supply chain) but does NOT retail in China.",medium
28 Day Skin,HarJam Innovations Ltd (legal entity),TRUE,FALSE,HarJam Innovations Ltd,,,no,independent,certified-clean,"HarJam Innovations Ltd (UK, co. #11037577, Gloucester). Independent. Operates as t/a 28 Day Skin. No China distribution.",medium
28 Litsea,Splurge Skincare (former name),TRUE,FALSE,Independent,,,no,independent,certified-clean,"Sole owner Christine Cunningham, Boston MA. Rebranded from Splurge Skincare. Small-batch artisan lip & body care. Named for founder's late father's birthday (28th) and Litsea cubeba botanical.",high
