brand_name,ulta_slug,peta,leaping_bunny,peta_status,parent_company,parent_cf,top_parent,top_parent_cf,notes,aliases
107,107,TRUE,FALSE,cf,,,,,Korean fermented skincare; independent,
18.21 Man Made,1821-man-made,FALSE,FALSE,not_found,,,,,Independent; founded by 3 partners in Texas,
3H Nails,3h-nails,FALSE,FALSE,not_found,,,,,Independent; press-on nails,
7 E Wellness,7-e-wellness,FALSE,FALSE,not_found,,,,,Independent; founded by Pooja Johari; microcurrent devices,
8Grow,8grow,FALSE,FALSE,not_found,,,,,Korean hair growth brand; appears independent,
A313,a313,FALSE,FALSE,not_found,Pharma Developpement,UNKNOWN,,,French pharmacy retinol; made by Pharma Developpement,
Abature,abature,TRUE,FALSE,cf,,,,,Independent; founded by Cinder Trout and her daughter,
about-face,about-face,TRUE,FALSE,cf,Celebrands,UNKNOWN,,,Halsey brand under Celebrands,
Acca Kappa,acca-kappa,FALSE,FALSE,not_found,,,,,Independent Italian family co since 1869; Treviso Italy,
Active Beauty,active-beauty,FALSE,FALSE,not_found,,,,,Parent unknown; unverified,
Admire My Skin,admire-my-skin,FALSE,TRUE,not_found,,,,,Independent; founded by Craig and Amy Romero,
af94,af94,TRUE,FALSE,cf,Celebrands,UNKNOWN,,,Halseys second brand under Celebrands,
Afnan,afnan,FALSE,FALSE,not_found,Sterling Parfums Group,UNKNOWN,,,Dubai fragrance brand; Fakhruddin family,
AG Care,ag-care,TRUE,FALSE,cf,,,,,Independent Canadian brand; founded by Lotte and John Davis 1989,
AG1,ag1,FALSE,FALSE,not_found,,,,,Independent supplement brand (Athletic Greens); PE-backed no single parent,
Ahava,ahava,FALSE,FALSE,may_not_be,Fosun International,FALSE,,,Chinese conglomerate acquired AHAVA 2016; sells in China,
Aippo,aippo,FALSE,FALSE,not_found,Starluxe,UNKNOWN,,,Korean skincare device brand operated by Starluxe,
Algenist,algenist,FALSE,FALSE,not_found,Tengram Capital Partners,N/A,,,PE-owned since 2016; PETA lists as not CF,
All Ulta Beauty Collection,ulta-beauty-collection,TRUE,FALSE,cf,Ulta Beauty,UNKNOWN,,,Ultras private label,
Alleyoop,alleyoop,TRUE,TRUE,cf,,,,,Independent; B Corp certified; founded by Leila,
Alpha Skincare,alpha-skincare,FALSE,FALSE,not_found,Silber Equity,UNKNOWN,,,"Acquired by Silber Equity; co-portfolio with Anthony, bioClarity, Shaveworks",
Alterna,alterna,FALSE,FALSE,not_found,Henkel,FALSE,,,Acquired by Henkel 2018,ALTERNA Haircare
AMAZING COSMETICS,amazing-cosmetics,FALSE,FALSE,not_found,,,,,Independent; women-owned,
Amazing Grass,amazing-grass,FALSE,FALSE,not_found,Glanbia Performance Nutrition,UNKNOWN,,,Irish nutrition company; acquired 2017,
American Crew,american-crew,FALSE,FALSE,not_found,Revlon,FALSE,,,Acquired by Revlon 2002,
amika,amika,TRUE,TRUE,cf,Bansk Group,UNKNOWN,,,"Acquired by Bansk 2022; also owns Eva NYC, Ethique, BYOMA",
AmLactin,amlactin,FALSE,FALSE,not_found,Sandoz (Novartis),FALSE,,,Acquired by Sandoz 2016,
Anastasia Beverly Hills,anastasia-beverly-hills,TRUE,FALSE,cf,,,,,Independent; TPG Capital minority investor 2018,
Andis,andis,FALSE,FALSE,not_found,,,,,Independent; family-owned since 1922,
Andrew Fitzsimons,andrew-fitzsimons,TRUE,FALSE,cf,,,,,Independent; bought back from Maesa 2024,
Anthony,anthony,TRUE,FALSE,cf,Skyline Beauty Group,UNKNOWN,,,Acquired by Skyline Beauty Group,
ANUA,anua,FALSE,FALSE,not_found,The Founders Inc. (Korea),UNKNOWN,,,Korean brand,
Aperire,aperire,FALSE,FALSE,not_found,Sooa Natural Co. Ltd. (Korea),UNKNOWN,,,Korean brand,
Apieu,apieu,FALSE,FALSE,not_found,Able C&C Co. Ltd. (Korea),UNKNOWN,,,Sister brand of Missha,
APLB,aplb,FALSE,FALSE,not_found,,,,,Independent Korean brand,
Apostle,apostle,FALSE,FALSE,not_found,,,,,Parent unknown,
Apothékary,apothekary,TRUE,FALSE,cf,,,,,Independent supplement brand,
APOTHEKE,apotheke,TRUE,FALSE,cf,,,,,Independent bath/body brand,
Aquaphor,aquaphor,FALSE,FALSE,not_found,Beiersdorf,FALSE,,,Beiersdorf brand; sells in China,
AquaSonic,aquasonic,FALSE,FALSE,not_found,Onyx Global Group,UNKNOWN,,,Founded by Arsalan Rahbarpoor,
ARABIAN CREST DUBAI,arabian-crest-dubai,FALSE,FALSE,not_found,,,,,Independent Dubai fragrance house,
Aramis,aramis,FALSE,FALSE,not_cf,Estée Lauder Companies,FALSE,,,ELC brand since 1964,
Aramore,aramore,FALSE,TRUE,not_found,New Frontier Bio Inc.,UNKNOWN,,,Longevity skincare by New Frontier Bio,
Arctic Fox,arctic-fox,TRUE,TRUE,cf,LG Household & Health Care,FALSE,,,LG H&H majority stake 2021; sells in China; LB cert under Arctic Fox Hair Color,
Ardell,ardell,FALSE,TRUE,may_not_be,American International Industries,UNKNOWN,,,Family-owned AII,
Ariana Grande,ariana-grande,FALSE,TRUE,not_found,Luxe Brands,UNKNOWN,,,Luxe Brands manages her fragrance franchise,
ARMANI,armani,FALSE,FALSE,not_cf,L'Oréal SA,FALSE,,,Giorgio Armani Beauty; L'Oréal license,Armani Beauty
ARMRA Colostrum,armra-colostrum,FALSE,FALSE,not_found,,,,,Independent; founded by Dr. Sarah Rahal,
arrae,arrae,FALSE,FALSE,not_found,,,,,Independent; Canadian wellness brand,
ASCENTION Parfums,ascention-parfums,FALSE,TRUE,not_found,,,,,Parent unknown; niche fragrance,
ASNA,asna,FALSE,TRUE,not_found,,,,,Parent unknown,
ATWATER,atwater,FALSE,TRUE,not_found,,,,,Parent unknown,
Avatara Skin,avatara-skin,FALSE,FALSE,not_found,,,,,Parent unknown,
Aveeno,aveeno,FALSE,FALSE,not_found,Kenvue,UNKNOWN,,,Kenvue (J&J consumer spinoff 2023); Kimberly-Clark acquisition pending H2 2026,
Avène,avene,FALSE,FALSE,may_not_be,Pierre Fabre Group,UNKNOWN,,,French dermo-cosmetics; 86% owned by Pierre Fabre Foundation,
AXIS-Y,axis-y,TRUE,FALSE,cf,,,,,Independent Korean brand,
